Price,Open,High,Low,Close,Volume,Return,RSI,MACD,EMA_10,EMA_30,Target_Cls,Future_Close
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,,,
Date,,,,,,,,,,,,
2018-02-07,53.9250914506971,54.00262556399122,52.41663640081931,52.455902099609375,51942000,-0.026760649507569623,31.864545052687248,-0.08512898587171236,55.60779914815995,55.799145914172364,0,53.315250396728516
2018-02-08,52.67757509163033,52.87936401239792,49.93552094259068,50.08512496948242,66792000,-0.04519562213657191,25.466467777171815,-0.5361757601809103,54.603676570218575,55.430499401611726,1,54.24269485473633
2018-02-09,50.9882059680197,52.27250343791082,49.55281423202895,52.00162887573242,98360000,0.03826493210145232,36.55649451650393,-0.730566217500872,54.130576989402904,55.20928194832919,1,54.448455810546875
2018-02-12,52.51853228906446,52.96087911223059,51.962866655883275,52.41366195678711,56240000,0.007923464898365262,38.66932989411643,-0.8416721565990315,53.81841061983639,55.0289193682297,0,54.85054397583008
2018-02-13,52.18701743613438,52.74467381294293,52.03393618570592,52.392784118652344,31586000,-0.00039832817161256084,38.59918521224945,-0.9207947323636247,53.55920580143929,54.85884612632149,1,55.35551452636719
2018-02-14,52.40173033871213,53.452924933885136,52.17707971268115,53.315250396728516,41304000,0.017606742867244618,43.47780299248412,-0.8987049136162639,53.51485027331005,54.75925930505743,1,55.164161682128906
2018-02-15,53.84955243728946,54.37887916365613,53.043386376921916,54.24269485473633,37396000,0.017395481613732056,47.95516671910397,-0.7971722508407382,53.64718565175119,54.72593256632703,1,56.0682373046875
2018-02-16,54.34308494746052,55.08513653693195,54.25213109968489,54.448455810546875,39948000,0.003793339478460389,48.921880661255145,-0.6921253048882363,53.79287113516858,54.70803084014767,1,56.844085693359375
2018-02-20,54.312272076437715,55.48175670870799,54.17509428809936,54.85054397583008,33754000,0.007384748737085722,50.84340188485336,-0.5698606895480083,53.98517528801612,54.71722523599815,1,55.54239273071289
2018-02-21,55.12440241380322,56.471324018175544,55.04537426623569,55.35551452636719,41486000,0.009206299772699156,53.22335708004633,-0.42729263430073416,54.23432787680723,54.75840519021551,0,54.866947174072266
2018-02-22,55.62489946576778,55.93752346032206,54.92807831309107,55.164161682128906,28010000,-0.0034567982228245198,52.19215042666522,-0.3259891981425227,54.403388568683894,54.784583028403475,1,53.251136779785156
2018-02-23,55.59954781047285,56.11346775012881,55.0915964088052,56.0682373046875,25292000,0.016388821926962782,56.48222323415837,-0.17078543982993466,54.706088338866365,54.86739943332503,1,53.88384246826172
